Portland,,,,,,,,
 Pseudo-Julian-Date,Date,Time,Temperature,Dewpoint,Relhum,Speed,Gust,Pressure
2459492.87,2021-10-04,20:53,64,53,67.4,4,M,1012.3
2459492.912,2021-10-04,21:53,67,53,60.7,3,M,1011.1
2459492.953,2021-10-04,22:53,68,52,56.5,3,M,1010.4
2459492.995,2021-10-04,23:53,68,52,56.5,0,M,1010
2459493.037,2021-10-05,0:53,67,53,60.7,5,M,1009.6
2459493.078,2021-10-05,1:53,65,53,65.1,5,M,1009.5
2459493.12,2021-10-05,2:53,63,54,72.4,4,M,1009.5
2459493.162,2021-10-05,3:53,63,54,72.4,7,M,1009.4
2459493.203,2021-10-05,4:53,62,54,75,6,M,1009.7
2459493.245,2021-10-05,5:53,61,54,77.7,5,M,1009.7
2459493.287,2021-10-05,6:53,60,54,80.5,6,M,1009.7
2459493.328,2021-10-05,7:53,59,54,83.5,6,M,1009.9
2459493.37,2021-10-05,8:53,58,53,83.4,6,M,1009.5
2459493.412,2021-10-05,9:53,59,53,80.5,7,M,1009.5
2459493.453,2021-10-05,10:53,57,53,86.4,6,M,1009.5
2459493.495,2021-10-05,11:53,56,52,86.4,4,M,1009.5
2459493.537,2021-10-05,12:53,57,51,80.3,5,M,1010.1
2459493.578,2021-10-05,13:53,58,50,74.6,5,M,1010
2459493.62,2021-10-05,14:53,59,49,69.4,6,M,1010.5
2459493.626,2021-10-05,15:02,59,49,69.4,6,15,1010.8
2459493.633,2021-10-05,15:11,59,49,69.4,8,M,1010.8
2459493.662,2021-10-05,15:53,56,50,80.2,12,M,1011.3
2459493.703,2021-10-05,16:53,56,52,86.4,11,M,1011.9
2459493.745,2021-10-05,17:53,57,53,86.4,10,M,1012.8
2459493.787,2021-10-05,18:53,58,54,86.5,7,M,1013.4
2459493.828,2021-10-05,19:53,58,53,83.4,8,M,1013.9
2459493.87,2021-10-05,20:53,58,53,83.4,5,M,1014.2
2459493.883,2021-10-05,21:11,58,54,86.5,4,M,1014.2
2459493.895,2021-10-05,21:29,58,53,83.4,5,M,1014.6
2459493.912,2021-10-05,21:53,57,53,86.4,5,M,1014.5
2459493.953,2021-10-05,22:53,58,51,77.5,6,M,1015
2459493.995,2021-10-05,23:53,57,52,83.3,6,M,1015.3
2459494.015,2021-10-06,0:22,56,52,86.4,0,M,1015.6
2459494.019,2021-10-06,0:28,56,51,83.3,0,M,1015.6
2459494.037,2021-10-06,0:53,57,51,80.3,3,M,1015.3
2459494.078,2021-10-06,1:53,56,49,77.3,5,M,1016.1
2459494.12,2021-10-06,2:53,55,51,86.3,3,M,1016.5
2459494.162,2021-10-06,3:53,54,50,86.3,6,M,1016.7
2459494.203,2021-10-06,4:53,53,49,86.2,5,M,1017
2459494.245,2021-10-06,5:53,53,49,86.2,6,M,1017.2
2459494.287,2021-10-06,6:53,52,48,86.2,7,M,1017.6
2459494.328,2021-10-06,7:53,52,47,83,7,M,1018
2459494.37,2021-10-06,8:53,51,46,82.9,7,M,1018.3
2459494.412,2021-10-06,9:53,51,46,82.9,10,M,1018.5
2459494.453,2021-10-06,10:53,52,47,83,7,M,1018.6
2459494.495,2021-10-06,11:53,52,46,79.9,7,M,1018.8
2459494.537,2021-10-06,12:53,51,46,82.9,6,M,1019.5
2459494.578,2021-10-06,13:53,52,46,79.9,8,M,1019.7
2459494.62,2021-10-06,14:53,51,46,82.9,8,M,1020.1
2459494.662,2021-10-06,15:53,52,46,79.9,5,M,1020.6
2459494.703,2021-10-06,16:53,54,45,71.5,4,M,1021
2459494.745,2021-10-06,17:53,56,46,69,8,M,1021.2
2459494.753,2021-10-06,18:05,57,46,66.6,8,M,1021.3
2459494.778,2021-10-06,18:40,57,45,64.1,11,M,1021
2459494.787,2021-10-06,18:53,58,45,61.8,10,M,1021.2
2459494.828,2021-10-06,19:53,59,44,57.4,10,M,1020.8
2459494.87,2021-10-06,20:53,60,44,55.4,7,M,1020.5
2459494.912,2021-10-06,21:53,60,45,57.6,5,M,1020.2
2459494.953,2021-10-06,22:53,53,47,80,3,M,1020.8
2459494.995,2021-10-06,23:53,56,47,71.7,0,M,1020.6
2459495.037,2021-10-07,0:53,56,48,74.4,3,M,1020.9
2459495.078,2021-10-07,1:53,55,48,77.2,3,M,1021.1
2459495.12,2021-10-07,2:53,51,48,89.4,0,M,1021.6
2459495.162,2021-10-07,3:53,50,47,89.4,0,M,1021.6
2459495.203,2021-10-07,4:53,52,47,83,0,M,1021.5
2459495.245,2021-10-07,5:53,48,45,89.3,3,M,1021.6
2459495.283,2021-10-07,6:47,46,45,96.3,0,M,1021.7
2459495.287,2021-10-07,6:53,47,44,89.2,0,M,1021.6
2459495.328,2021-10-07,7:53,46,43,89.2,0,M,1021.7
2459495.37,2021-10-07,8:53,45,42,89.1,0,M,1021.8
2459495.375,2021-10-07,9:00,45,42,89.1,0,M,1022
2459495.381,2021-10-07,9:09,46,43,89.2,3,M,1022
2459495.39,2021-10-07,9:21,46,44,92.7,4,M,1021.7
2459495.399,2021-10-07,9:35,46,44,92.7,4,M,1022
2459495.402,2021-10-07,9:39,46,43,89.2,3,M,1022
2459495.412,2021-10-07,9:53,46,43,89.2,4,M,1021.7
2459495.453,2021-10-07,10:53,45,43,92.6,5,M,1021.6
2459495.495,2021-10-07,11:53,46,44,92.7,5,M,1021.6
2459495.537,2021-10-07,12:53,46,44,92.7,0,M,1021.6
2459495.546,2021-10-07,13:06,46,44,92.7,4,M,1021.7
2459495.578,2021-10-07,13:53,45,43,92.6,3,M,1021.6
2459495.62,2021-10-07,14:53,45,43,92.6,3,M,1021.6
2459495.647,2021-10-07,15:31,43,41,92.6,5,M,1022.1
2459495.656,2021-10-07,15:44,44,41,89.1,6,M,1021.7
2459495.662,2021-10-07,15:53,44,42,92.6,4,M,1021.6
2459495.703,2021-10-07,16:53,46,43,89.2,3,M,1021.3
2459495.725,2021-10-07,17:24,47,43,85.9,4,M,1021.4
2459495.745,2021-10-07,17:53,48,42,79.6,6,M,1021.2
2459495.787,2021-10-07,18:53,51,43,73.9,5,M,1020.4
2459495.828,2021-10-07,19:53,54,44,68.8,4,M,1019.7
2459495.87,2021-10-07,20:53,57,45,64.1,7,M,1018.6
2459495.912,2021-10-07,21:53,59,44,57.4,9,M,1017.7
2459495.953,2021-10-07,22:53,61,42,49.5,7,M,1017.2
