SeaTac Airport,,,,,,,,
 Pseudo-Julian-Date,Date,Time,Temperature,Dewpoint,Relhum,Speed,Gust,Pressure
2459492.87,2021-10-04,20:53,60,49,66.9,6,M,1013.6
2459492.912,2021-10-04,21:53,61,48,62.2,4,M,1012.5
2459492.953,2021-10-04,22:53,59,48,66.8,5,M,1011.9
2459492.995,2021-10-04,23:53,60,48,64.5,3,M,1011.3
2459493.037,2021-10-05,0:53,58,48,69.3,4,M,1010.8
2459493.078,2021-10-05,1:53,57,47,69.1,0,M,1010.5
2459493.12,2021-10-05,2:53,56,46,69,0,M,1010
2459493.162,2021-10-05,3:53,54,48,80.1,3,M,1010
2459493.203,2021-10-05,4:53,55,47,74.3,0,M,1009.6
2459493.245,2021-10-05,5:53,53,48,83.1,0,M,1009.6
2459493.287,2021-10-05,6:53,54,49,83.1,4,M,1009.3
2459493.328,2021-10-05,7:53,52,48,86.2,3,M,1008.9
2459493.37,2021-10-05,8:53,52,50,92.9,5,M,1008.6
2459493.412,2021-10-05,9:53,52,49,89.5,5,M,1008.5
2459493.453,2021-10-05,10:53,52,49,89.5,6,M,1008.2
2459493.49,2021-10-05,11:45,52,50,92.9,5,M,1007.6
2459493.495,2021-10-05,11:53,53,50,89.5,7,M,1008.1
2459493.52,2021-10-05,12:29,54,51,89.5,6,M,1007.6
2459493.527,2021-10-05,12:39,54,51,89.5,5,M,1007.6
2459493.537,2021-10-05,12:53,54,51,89.5,4,M,1008.1
2459493.574,2021-10-05,13:46,54,51,89.5,3,M,1007.6
2459493.578,2021-10-05,13:53,54,50,86.3,0,M,1007.7
2459493.62,2021-10-05,14:53,53,50,89.5,7,M,1008.4
2459493.662,2021-10-05,15:53,53,51,92.9,9,M,1009.2
2459493.67,2021-10-05,16:05,53,50,89.5,10,M,1009
2459493.701,2021-10-05,16:50,54,50,86.3,9,M,1009.9
2459493.703,2021-10-05,16:53,53,50,89.5,10,M,1010.4
2459493.743,2021-10-05,17:50,54,52,92.9,13,M,1010.3
2459493.745,2021-10-05,17:53,54,51,89.5,12,M,1010.8
2459493.787,2021-10-05,18:53,54,51,89.5,11,19,1011.9
2459493.792,2021-10-05,19:00,54,51,89.5,12,M,1011.6
2459493.828,2021-10-05,19:53,53,50,89.5,10,M,1012.8
2459493.844,2021-10-05,20:15,53,50,89.5,6,M,1012.3
2459493.87,2021-10-05,20:53,54,51,89.5,8,M,1013.1
2459493.912,2021-10-05,21:53,54,51,89.5,7,M,1013.3
2459493.953,2021-10-05,22:53,51,47,86.1,9,M,1014.2
2459493.995,2021-10-05,23:53,53,49,86.2,6,M,1014.4
2459494.037,2021-10-06,0:53,53,50,89.5,10,M,1014.5
2459494.078,2021-10-06,1:53,52,48,86.2,10,M,1014.9
2459494.12,2021-10-06,2:53,50,47,89.4,7,M,1015.3
2459494.162,2021-10-06,3:53,51,47,86.1,8,M,1015.7
2459494.203,2021-10-06,4:53,51,46,82.9,9,M,1015.7
2459494.245,2021-10-06,5:53,49,44,82.8,8,M,1015.8
2459494.287,2021-10-06,6:53,49,43,79.7,9,M,1015.9
2459494.328,2021-10-06,7:53,48,42,79.6,9,M,1016.2
2459494.37,2021-10-06,8:53,49,42,76.7,11,M,1016.2
2459494.412,2021-10-06,9:53,47,41,79.5,9,M,1016.5
2459494.453,2021-10-06,10:53,49,43,79.7,9,M,1016.8
2459494.495,2021-10-06,11:53,48,43,82.7,7,M,1017
2459494.537,2021-10-06,12:53,48,43,82.7,5,M,1017.5
2459494.578,2021-10-06,13:53,48,44,85.9,7,M,1018
2459494.62,2021-10-06,14:53,48,45,89.3,7,M,1018.5
2459494.662,2021-10-06,15:53,49,46,89.3,5,M,1019.1
2459494.703,2021-10-06,16:53,51,46,82.9,6,M,1019.7
2459494.745,2021-10-06,17:53,52,46,79.9,6,M,1020.2
2459494.787,2021-10-06,18:53,51,48,89.4,5,M,1020.5
2459494.799,2021-10-06,19:11,52,49,89.5,6,M,1019.8
2459494.819,2021-10-06,19:39,54,50,86.3,6,M,1019.8
2459494.824,2021-10-06,19:46,55,49,80.1,8,M,1019.7
2459494.828,2021-10-06,19:53,54,49,83.1,7,M,1020.3
2459494.831,2021-10-06,19:57,54,48,80.1,9,M,1019.8
2459494.858,2021-10-06,20:36,52,48,86.2,9,M,1019.8
2459494.87,2021-10-06,20:53,54,49,83.1,7,M,1020.1
2459494.912,2021-10-06,21:53,55,47,74.3,9,M,1020
2459494.953,2021-10-06,22:53,55,47,74.3,5,M,1019.9
2459494.995,2021-10-06,23:53,54,47,77.1,7,M,1020.1
2459495.037,2021-10-07,0:53,55,46,71.6,8,M,1020.2
2459495.078,2021-10-07,1:53,52,45,76.9,9,M,1020.6
2459495.12,2021-10-07,2:53,51,45,79.8,6,M,1021.4
2459495.162,2021-10-07,3:53,51,45,79.8,5,M,1021.7
2459495.178,2021-10-07,4:17,50,45,82.8,3,M,1021.6
2459495.203,2021-10-07,4:53,50,45,82.8,3,M,1022.1
2459495.21,2021-10-07,5:02,50,45,82.8,4,M,1021.6
2459495.215,2021-10-07,5:09,50,45,82.8,4,M,1021.6
2459495.245,2021-10-07,5:53,49,45,86,0,M,1022.3
2459495.287,2021-10-07,6:53,49,45,86,0,M,1022.4
2459495.315,2021-10-07,7:34,48,45,89.3,3,M,1022
2459495.322,2021-10-07,7:44,47,44,89.2,4,M,1022
2459495.328,2021-10-07,7:53,47,43,85.9,4,M,1022.5
2459495.347,2021-10-07,8:19,47,43,85.9,5,M,1022.4
2459495.352,2021-10-07,8:27,47,43,85.9,5,M,1022.4
2459495.37,2021-10-07,8:53,47,43,85.9,5,M,1022.7
2459495.376,2021-10-07,9:02,46,43,89.2,6,M,1022.4
2459495.412,2021-10-07,9:53,47,44,89.2,4,M,1022.7
2459495.445,2021-10-07,10:41,47,43,85.9,0,M,1022.4
2459495.453,2021-10-07,10:53,46,42,85.8,3,M,1022.6
2459495.477,2021-10-07,11:27,46,43,89.2,3,M,1022.4
2459495.495,2021-10-07,11:53,47,44,89.2,3,M,1022.7
2459495.51,2021-10-07,12:15,46,43,89.2,3,M,1022.4
2459495.537,2021-10-07,12:53,46,44,92.7,0,M,1022.9
2459495.578,2021-10-07,13:53,46,43,89.2,4,M,1022.8
2459495.592,2021-10-07,14:12,46,43,89.2,0,M,1022.4
2459495.62,2021-10-07,14:53,46,43,89.2,4,M,1023
2459495.655,2021-10-07,15:43,47,45,92.7,0,M,1022.7
2459495.662,2021-10-07,15:53,47,44,89.2,0,M,1023.1
2459495.702,2021-10-07,16:51,48,45,89.3,4,M,1022.3
2459495.703,2021-10-07,16:53,49,44,82.8,5,M,1022.8
2459495.721,2021-10-07,17:18,52,44,74,3,M,1022.2
2459495.745,2021-10-07,17:53,50,44,79.7,5,M,1022.6
2459495.772,2021-10-07,18:31,54,44,68.8,0,M,1021.8
2459495.787,2021-10-07,18:53,52,43,71.3,0,M,1022
2459495.828,2021-10-07,19:53,56,42,59.2,5,M,1021.2
2459495.87,2021-10-07,20:53,56,41,57,4,M,1020.7
2459495.912,2021-10-07,21:53,58,40,51,8,M,1019.9
2459495.953,2021-10-07,22:53,57,41,55,9,M,1019.2
2459495.995,2021-10-07,23:53,56,39,52.7,7,M,1018.7
2459496.037,2021-10-08,0:53,54,36,50.4,5,M,1018.4
2459496.078,2021-10-08,1:53,50,35,56.1,6,M,1018.4
2459496.12,2021-10-08,2:53,49,41,73.7,8,M,1018.4
2459496.162,2021-10-08,3:53,47,42,82.6,5,M,1017.9
2459496.203,2021-10-08,4:53,47,43,85.9,4,M,1017.6
2459496.245,2021-10-08,5:53,46,42,85.8,5,M,1017.3
2459496.287,2021-10-08,6:53,45,41,85.8,5,M,1016.9
2459496.328,2021-10-08,7:53,44,42,92.6,0,M,1016.8
2459496.37,2021-10-08,8:53,42,40,92.5,3,M,1016.6
2459496.412,2021-10-08,9:53,42,39,89,0,M,1016.7
2459496.453,2021-10-08,10:53,43,40,89,4,M,1016.6
2459496.495,2021-10-08,11:53,42,40,92.5,3,M,1016.8
2459496.537,2021-10-08,12:53,41,39,92.5,4,M,1016.8
2459496.578,2021-10-08,13:53,41,39,92.5,5,M,1016.9
2459496.596,2021-10-08,14:18,42,41,96.2,6,M,1016.8
2459496.62,2021-10-08,14:53,42,41,96.2,5,M,1017
2459496.662,2021-10-08,15:53,44,43,96.2,0,M,1017.6
2459496.703,2021-10-08,16:53,46,44,92.7,4,M,1017.8
2459496.719,2021-10-08,17:15,46,44,92.7,4,M,1017.6
2459496.745,2021-10-08,17:53,47,45,92.7,3,M,1018
2459496.787,2021-10-08,18:53,47,44,89.2,3,M,1018.3
2459496.822,2021-10-08,19:43,50,45,82.8,3,M,1017.9
2459496.828,2021-10-08,19:53,51,45,79.8,0,M,1018.1
2459496.87,2021-10-08,20:53,54,43,66.2,4,M,1018
2459496.912,2021-10-08,21:53,57,40,52.9,3,M,1018
2459496.953,2021-10-08,22:53,57,39,50.9,0,M,1018.1
2459496.995,2021-10-08,23:53,57,39,50.9,0,M,1018.5
2459497.037,2021-10-09,0:53,57,38,48.9,0,M,1018.9
2459497.078,2021-10-09,1:53,54,41,61.3,0,M,1019.2
2459497.12,2021-10-09,2:53,51,41,68.5,0,M,1019.5
2459497.162,2021-10-09,3:53,51,40,65.8,4,M,1019.7
2459497.203,2021-10-09,4:53,51,38,60.9,6,M,1020.2
2459497.245,2021-10-09,5:53,48,37,65.5,6,M,1020.7
2459497.287,2021-10-09,6:53,46,37,70.6,4,M,1021.2
2459497.328,2021-10-09,7:53,45,38,76.3,7,M,1021.5
2459497.37,2021-10-09,8:53,44,38,79.3,7,M,1022.1
2459497.412,2021-10-09,9:53,44,38,79.3,7,M,1022.6
2459497.453,2021-10-09,10:53,45,39,79.3,7,M,1022.9
2459497.495,2021-10-09,11:53,45,39,79.3,8,M,1023
2459497.537,2021-10-09,12:53,46,38,73.4,8,M,1023.2
2459497.578,2021-10-09,13:53,46,39,76.4,6,M,1023.6
2459497.62,2021-10-09,14:53,48,40,73.6,7,M,1024
2459497.662,2021-10-09,15:53,49,40,70.9,4,M,1024
2459497.703,2021-10-09,16:53,51,42,71.2,8,M,1024.1
2459497.745,2021-10-09,17:53,52,43,71.3,7,M,1023.8
2459497.787,2021-10-09,18:53,54,44,68.8,6,M,1024
2459497.809,2021-10-09,19:25,55,45,68.9,8,M,1023.1
2459497.828,2021-10-09,19:53,55,45,68.9,6,M,1023.6
2459497.87,2021-10-09,20:53,55,46,71.6,5,M,1023
