Vancouver,,,,,,,,
 Pseudo-Julian-Date,Date,Time,Temperature,Dewpoint,Relhum,Speed,Gust,Pressure
2459492.875,2021-10-04,21:00,57,50,77.4,6,M,1013.7
2459492.917,2021-10-04,22:00,57,50,77.4,9,M,1012.6
2459492.958,2021-10-04,23:00,57,50,77.4,9,M,1011.9
2459493,2021-10-05,0:00,55,50,83.2,9,M,1011
2459493.042,2021-10-05,1:00,54,50,86.3,6,M,1010.2
2459493.083,2021-10-05,2:00,54,50,86.3,8,M,1009.9
2459493.125,2021-10-05,3:00,54,50,86.3,8,M,1009.4
2459493.167,2021-10-05,4:00,54,52,92.9,11,M,1009.2
2459493.208,2021-10-05,5:00,54,52,92.9,11,M,1008.6
2459493.222,2021-10-05,5:19,54,50,86.3,10,M,1008.5
2459493.25,2021-10-05,6:00,54,50,86.3,11,M,1008.7
2459493.261,2021-10-05,6:16,54,50,86.3,11,M,1008.7
2459493.277,2021-10-05,6:39,54,50,86.3,10,M,1008.4
2459493.292,2021-10-05,7:00,54,50,86.3,7,M,1008.3
2459493.333,2021-10-05,8:00,54,50,86.3,7,M,1008
2459493.363,2021-10-05,8:42,54,50,86.3,4,M,1007.9
2459493.375,2021-10-05,9:00,54,50,86.3,3,M,1007.7
2459493.39,2021-10-05,9:21,54,50,86.3,2,M,1007.7
2459493.417,2021-10-05,10:00,54,50,86.3,4,M,1007.4
2459493.458,2021-10-05,11:00,54,52,92.9,7,M,1006.2
2459493.5,2021-10-05,12:00,54,52,92.9,6,M,1005.9
2459493.542,2021-10-05,13:00,52,52,100,6,M,1006
2459493.562,2021-10-05,13:29,52,52,100,3,M,1005.9
2459493.583,2021-10-05,14:00,52,52,100,2,M,1005.5
2459493.625,2021-10-05,15:00,52,52,100,4,M,1005.1
2459493.656,2021-10-05,15:45,54,52,92.9,13,M,1004.4
2459493.667,2021-10-05,16:00,54,52,92.9,13,M,1004.7
2459493.708,2021-10-05,17:00,55,52,89.6,21,28,1005.2
2459493.75,2021-10-05,18:00,57,52,83.3,18,25,1005.5
2459493.792,2021-10-05,19:00,57,52,83.3,18,24,1006.9
2459493.833,2021-10-05,20:00,57,52,83.3,15,21,1008.5
2459493.875,2021-10-05,21:00,57,48,71.8,9,M,1009.5
